1. Designator Codes and Descriptions,,,,
a. Unrestricted Line,,,,
Billet Code,Billet,Officer Code,Officer,Officer Community Manager (OCM)
6320,Limited Duty Officer (Line) billet requiring management in Aviation Operations specialty,632X,A Limited Duty Officer (Aviation Operations),ACNO (Air Warfare)
*6321,"Limited Duty Officer (Line) billet, Code 1 - Operational Flying, requiring the specialty of an Aviation Operations (ASW) officer who is aeronautically designated",N/A,N/A,ACNO (Air Warfare)
6330,Limited Duty Officer (Line) billet requiring management in Aviation Maintenance specialty,633X,A Limited Duty Officer (Aviation Maintenance),ACNO (Air Warfare)
6360,Limited Duty Officer (Line) billet requiring management in Aviation Ordnance specialty,636X,A Limited Duty Officer (Aviation Ordnance),ACNO (Air Warfare)
6390,Limited Duty Officer (Line) billet requiring management in Air Traffic Control specialty,639X,A Limited Duty Officer (Air Traffic Control),ACNO (Air Warfare)
"*See definitions in Section 1, paragraph 2.b.",,,,
,,,,
n. LIMITED DUTY OFFICER-LINE (GENERAL),,,,
6410,Limited Duty Officer (Line) billet requiring management in Administration specialty,641X,A Limited Duty Officer (Administration),ACNO (Surface Warfare); NOTE below applies
6430,Limited Duty Officer (Line) billet requiring Bandmaster specialty,643X,A Limited Duty Officer (Bandmaster),CHNAVPERS (PERS-654)
6480,Limited Duty Officer (Line) billet requiring management in Explosive Ordnance Disposal specialty,648X,A Limited Duty Officer (Explosive Ordnance Disposal),ACNO (Surface Warfare)
6490,Limited Duty Officer (Line) billet requiring management in Security specialty,649X,A Limited Duty Officer (Security),USFF N1SF
NOTE: ACNO (Undersea Warfare) is the Officer Community Manager (OCM) for those 641X designators with AQD SV1.,,,,
,,,,
o. LIMITED DUTY OFFICER-STAFF CORPS,,,,
6510,Staff Corps Limited Duty Officer billet requiring Supply specialty,651X,A Limited Duty Officer of the Supply Corps,COMNAVSUP-SYSCOM
6530,Staff Corps Limited Duty Officer billet requiring Civil Engineering specialty,653X,A Limited Duty Officer of the Civil Engineer Corps,COMNAVFAC-SYSCOM
,,,,
P. LIMITED DUTY OFFICER-LINE (INFORMATION WARFARE COMMUNITY),,,,
6800,Limited Duty Officer (Line) billet requiring management in Meteorology/Oceanography specialty,680X,A Limited Duty Officer (Meteorology/Oceanography) Formerly DESIG 646X,BUPERS-311-LDO
6810,Limited Duty Officer (Line) billet requiring management in Cryptologic Warfare specialty,681X,A Limited Duty Officer (Cryptologic Warfare) Formerly DESIG 644X,BUPERS-311-LDO
6820,Limited Duty Officer (Line) billet requiring management in Information Professional,682X,A Limited Duty Officer (Information Professional) Formerly DESIG 642X,BUPERS-311-LDO
6830,Limited Duty Officer (Line) billet requiring management in Intelligence specialty,683X,A Limited Duty Officer (Intelligence) Formerly DESIG 645X,BUPERS-311-LDO
NOTE: 68XX designators to be assigned to O3 and below requirements only.  LCDR and above billets are assigned the appropriate 18XX designator.,,,,
,,,,
q. CHIEF WARRANT OFFICER-LINE (SURFACE),,,,
7110,Warrant Officer (Line) billet requiring supervision in Boatswain specialty (Surface),711X,Boatswain (Surface),ACNO (Surface Warfare)
7120,Warrant Officer (Line) billet requiring supervision in Operations Technician specialty (Surface),712X,Operations Technician (Surface),ACNO (Surface Warfare)
7130,Warrant Officer (Line) billet requiring supervision in Engineering specialty (Surface),713X,Engineering Technician (Surface),ACNO (Surface Warfare)
7150,Warrant Officer (Line) billet requiring supervision in Special Warfare Technician specialty,715X,Special Warfare Technician,ACNO (Expeditionary Warfare)
7170,Warrant Officer (Line) billet requiring supervision in Naval Special Warfare Combat Crewman,717X,"A Chief Warrant Officer with sophisticated, technical knowledge in all aspects of the Naval Special Warfare Combat Crewman",ACNO (Expeditionary Warfare)
