AQD CODE,DESCRIPTION,1ST,2ND CODE,2ND TITLE,3RD CODE,3RD TITLE,OFFICER AWARDING CRITERIA,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILIING PREREQUISITE,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,DESIGNATOR_20,DESIGNATOR_21,DESIGNATOR_22,DESIGNATOR_23,DESIGNATOR_24,DESIGNATOR_25,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,PRIMARY CONSULTANT_1,PRIMARY CONSULTANT_2,PRIMARY CONSULTANT_3,PRIMARY CONSULTANT_4,PRIMARY CONSULTANT_5,AUXILIARY CONSULTANT_1,AUXILIARY CONSULTANT_2,AUXILIARY CONSULTANT_3,AUXILIARY CONSULTANT_4,AUXILIARY CONSULTANT_5,AUXILIARY CONSULTANT_6,,,,,,,,,,
LS6,,L,S,Specialty Career Path,6,Strategic Sealift,"(a) Been administratively screened for Strategic Sealift Specialization.
AND
(b) Successfully completed a Department Head Tour.
",,,,All URL Designators,,,,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4,MSC,,,,,,,,,,,,,,
LS7,,L,S,Specialty Career Path,7,Financial Management,"(a) Been administratively screened for Financial Management Specialization.
AND
(b) Completed a Department Head tour.
",,,,111X,112X,131X,132X,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4,ASN FM&C,,,,,,,,,,,,,,
LS8,,L,S,Specialty Career Path,8,Naval Operational Planner,"(a) Been administratively screened for Naval Operational Planner Specialization.
AND
(b) Completed a Department Head tour.
",,,,111X,112X,131X,132X,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4,CNO N3/N5,,,,,,,,,,,,,,
LS9,,L,S,Specialty Career Path,9,Operations Analysis,"(a) Been administratively screened for Operations Analysis Specialization.
AND
(b) Completed a Department Head tour.
",,,,111X,112X,131X,132X,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4,CNO N81,,,,,,,,,,,,,,
LS0,,L,T,Specialty Career Path,0,Education and Training Management,"(a) Been administratively screened for Education and Training Management Specialization.
AND
(b) Completed a Department Head tour.
",,,,111X,112X,131X,132X,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4,NETC,,,,,,,,,,,,,,
LTS,,L,T,Joint Interface Control Officer (JICO) ,S,Screened,Been screened and selected by the JICO application Screen Board for assignment to a designated JICO Billet.,,,,612X,712X,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERS - 41,,,,,CNSP,CNSL,,,,,,,,,,,,,,
LT1,,L,T,Tactical Digital Information Link (TDL) Officer,1,Qualified  Interface Control Officer (ICO),"Completed the ICO course of instruction, CIN A-2G-0114 and been designated in writing as an Interface Control Officer IAW current instruction.",,,,ANY,,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with LT1 require an officer who has previously been awarded the LT1 code prior to reporting to ultimate duty station.,,,,ANY,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active and Reserve,OPNAV N2N6,BUPERS - 311,BUPERS -315,,,NNWC,CS1,,,,,,,,,,,,,,
LT2,,L,T,Tactical Digital Information Link (TDL) Officer,2,Qualified Joint Interface Control Officer (JICO),Completed the JICO course of instruction: CIN A-102-0093 and been designated as a Joint Interface Control Officer IAW current instruction.,,,,1110,1300,612X,712X,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with LT2 require an officer who has previously been awarded the LT2 code prior to reporting to ultimate duty station.,,,,ANY,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active and Reserve,OPNAV N2N6,BUPERS - 311,BUPERS -315,,,NNWC,CS1,,,,,,,,,,,,,,
LT3,,L,T,Joint Interface Control Officer (JICO) ,3,Tour Complete,"(a) Earned LT1 and LT2
AND
(b) Successfully complete a 24-month JICO Tour.",,,,6112X,712X,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERS - 41,,,,,CNSP,CNSL,,,,,,,,,,,,,,
LV1,,L,V,Naval Culture Workshop (NCW),1,Facilitator,"(a) Completed the Job Qualification Requirements (JQR) for  Naval Culture Workshop Facilitator per respective TYCOM instruction:

COMNAVSURFPAC/COMNAVSURFLANTINST 3500.44
OR
COMSUBLANT/COMSUBPACINST 1040.1 
OR
COMNAVAIRLANT/COMNAVAIRPACINST 3500.39 
OR
COMNECC/COMNECCPACINST 3500.44
AND
(b) Been designated as a qualified NCW facilitator by the Commanding Officer or TYCOM Naval Culture Workshop Program Manager.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMNAVSURFOR/CNSP Deputy Commander,,,,,CNSP N05 Safety,COMSUBLANT,COMPACFLT,COMNAVAIRPAC,COMNAVNECC,,,,,,,,,,,
LV2,,L,V,Naval Culture Workshop (NCW),2,"Lead
Facilitator
","(a) Been awarded the LV1 Naval Culture Workshop
Facilitator AQD.
AND
(b) Completed the Job Qualification Requirements (JQR) for  Naval Culture Workshop Facilitator per respective TYCOM instruction:

COMNAVSURFPAC/COMNAVSURFLANTINST 3500.44 
OR
COMSUBLANT/COMSUBPACINST 1040.1
OR
COMNAVAIRLANT/COMNAVAIRPACINST 3500.39 
OR
COMNECC/COMNECCPACINST 3500.44
AND
(c) Been designated as a qualified NCW facilitator by the Commanding Officer or TYCOM Naval Culture Workshop Program Manager.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMNAVSURFOR/CNSP Deputy Commander,,,,,CNSP N05 Safety,COMSUBLANT,COMPACFLT,COMNAVAIRPAC,COMNAVNECC,,,,,,,,,,,
OCEANOGRAPHY (METOC),These AQD codes are assigned to officers by PERS-4.,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH1,,M,H,Hydrographer,1,Naval Hydrographer,"(a) Completed at least 18 months in a Hydrographer billet.
AND
(b) Completed a course leading to certification as an International Hydrographic Organization (IHO) Category “A” hydrographer.
",,,,180X,680X,,,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N2N6E,COMNAVMETOCCOM,,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
MH2,,M,H,Hydrographer,2,Apprentice Naval Hydrographer,"(a) Completed a course leading to certification as an International Hydrographic Organization (IHO) Category “A” hydrographer.
OR
(b) Completed a course leading to certification as an International Hydrographic Organization (IHO) Category “B” hydrographer, AND completed at least 18 months in an Apprentice Naval Hydrographer billet at hydrography command.
OR
(c) Completed two Safety of Navigation hydrographic surveys as an Apprentice Naval Hydrographer under instruction.
AND 
Completed at least 18 months in an Apprentice Naval Hydrographer billet at a hydrography command.
",,,,180X,680X,780X,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N2N6E,COMNAVMETOCCOM,,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
MO1,,M,O,Meteorology and Oceanography Officer,1,Basic,"a) Successful completion of Basic Oceanography Accession Training (BOAT) course (S-5A-0011).
AND
b) Successful completion of NAVEDTRA 43204 Watchstation 301 (Meteorology and Oceanography Officer)
OR
c) Previously awarded the Meteorological and Oceanographic (METOC) Forecaster NEC.
AND
d) Successful completion of NAVEDTRA 43204 Watchstation 301 (Meteorology and Oceanography Officer)
",,,,180X,680X,780X,,,,,,,,,,,,,,,,,ALL,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N2N6E,COMNAVMETOCCOM,NAVIFOR N13,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
FINANCIAL MANAGEMENT,"AQD codes having the first character ""N"" are used to identify Financial Management qualifications.  Primary positions reflect NOBC classifications and, as with NOBC, are general descriptions of duties performed.  These definitions are not meant to cover every duty required nor every duty necessarily a requirement of the billet.  NOBC coding provides identification of scope and nature of duties and is provided to aid in billet and AQD coding.",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR1,,N,R,Financial Management,1,CDFM,Been designated as a Certified Defense Financial Manager (CDFM) as determined by meeting education and experience requirements and successfully passing all three CDFM exams administered by the American Society of Military Comptrollers (ASMC).,,,,,ALL,,,,,,,,,,,,,,,,,,W2 TO O10,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N82,,,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
NR2,,N,R,Financial Management,2,CDFM-A,Been designated as a Certified Defense Financial Manager with Acquisition Sub-Specialty (CDFM-A) as determined by meeting education and experience requirements and successfully passing all four CDFM-A exams administered by the American Society of Military Comptrollers (ASMC).,,,,,ALL,,,,,,,,,,,,,,,,,,W2 TO O10,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N82,,,,,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,,
NS1,,N,S,DoD Financial Management Certification,1,Level 1,"(a) Completed the requirements of the DoD FM certification program.
AND
(b) Received a Level 1 certification in the DoD Learning Management System.
",,,,,ALL,,,,,,,,,,,,,,,,,,O1 TO O6,,"To sustain DoD FM certification Level 1, member must earn 40 CPE or 4 CEU every two years.",Active and Reserve,Billets coded with NS1 require the incumbent to achieve DoD Financial Management Level 1 certification within 24 months of reporting to ultimate duty assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O1 TO O3,,,Active and Reserve,OASN(FM&C),,,,,OPNAV N13M,,,,,,,,,,,,,,,
NS2,,N,S,DoD Financial Management Certification,2,Level 2,"(a) Completed the requirements of the DoD FM certification program.
AND
(b) Received a Level 2 certification in the DoD Learning Management System.
",,,,,ALL,,,,,,,,,,,,,,,,,,O1 TO O6,,"To sustain DoD FM certification Level 2, member must earn 60 CPE or 6 CEU every two years.",Active and Reserve,Billets coded with NS2 require the incumbent to achieve DoD Financial Management Level 2 certification within 24 months of reporting to ultimate duty assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O4 TO O5,,,Active and Reserve,OASN(FM&C),,,,,OPNAV N13M,,,,,,,,,,,,,,,
NS3,,N,S,DoD Financial Management Certification,3,Level 3,"(a) Completed the requirements of the DoD FM certification program.
AND
(b) Received a Level 3 certification in the DoD Learning Management System.
",,,,,ALL,,,,,,,,,,,,,,,,,,O1 TO O8,,"To sustain DoD FM certification Level 3, member must earn 80 CPE or 8 CEU every two years.",Active and Reserve,Billets coded with NS3 require the incumbent to achieve DoD Financial Management Level 3 certification within 24 months of reporting to ultimate duty assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O4 TO O8,,,Active and Reserve,OASN(FM&C),,,,,OPNAV N13M,,,,,,,,,,,,,,,
NAVY SECURITY FORCE,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA1,,P,A,Navy Security Force Officer,1,Basic,"(a) Successfully complete the NSF Officer Basic course (CIN A-7H-0007).
AND
(b) 24 months as an NSF Officer.
",,,,649X,749X,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFF N1SF,,,,,,OPNAV N4I3,,,,,,,,,,,,,,
PA2,,P,A,Navy Security Force Officer,2,Advanced,"(a) (a) Successfully completed 12 months in current billet, must be Navy Security Force Officer qualified with insignia.
AND
(b) Been previously awarded AQDs PB1 or PB2, PC1 or PC2, PD1 or PE1, and PS1 or PS2.
",,,,649X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with PA2 require an officer who has previously been awarded the PA1 code.,,,,6490,,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,USFF N1SF,,,,,,OPNAV N4I3,,,,,,,,,,,,,,
PB1,,P,B,Installation Security Officer (ISO),1,CONUS,Successfully completed 24 months as a CONUS Installation Security Officer.,,,,649X,749X,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFF N1SF,,,,,,OPNAV N4I3,,,,,,,,,,,,,,
PB2,,P,B,Installation Security Officer (ISO),2,OCONUS,Successfully completed 24 months as an OCONUS Installation Security Officer.,The first Flag Officer/Senior Executive in an officer’s chain of command may waive the minimum tour length requirement and award AQD based on extraordinary and extensive experience gained during a shorter tour and when circumstances prevented a 24-month tour in that billet.,,,649X,749X,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFF N1SF,,,,,,OPNAV N4I3,,,,,,,,,,,,,,
PC1,,P,C,Force Protection/ Antiterrorism Officer,1,Base or Activity,Successfully completed 24 months as a Force protection/Anti-Terrorism Officer of a Base or Activity.,The first Flag Officer/Senior Executive in an officer’s chain of command may waive the minimum tour length requirement and award AQD based on extraordinary and extensive experience gained during a shorter tour and when circumstances prevented a 24-month tour in that billet.,,,649X,749X,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFF N1SF,,,,,OPNAV N4I3,,,,,,,,,,,,,,,
PC2,,P,C,Force Protection/ Antiterrorism Officer,2,Staff,Successfully completed 24 months as a Force protection/Anti-Terrorism Officer of a Staff.,The first Flag Officer/Senior Executive in an officer’s chain of command may waive the minimum tour length requirement and award AQD based on extraordinary and extensive experience gained during a shorter tour and when circumstances prevented a 24-month tour in that billet.,,,649X,749X,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFF N1SF,,,,,OPNAV N4I3,,,,,,,,,,,,,,,
PD1,,P,D,Strategic Systems Programs,1,Security Officer,Successfully completed 24 months as a Security Officer attached to Strategic Systems Programs.,,,,649X,,,,,,,,,,,,,,,,,,,O1 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFF N1SF,,,,,OPNAV N4I3,,,,,,,,,,,,,,,
PE1,,P,E,Security Training Assistance and Assessments Team,1,Staff or Activity,Successfully completed 24 months as a Security Officer conducting Security Training/Security Assessments.,,,,649X,749X,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFF N1SF,,,,,OPNAV N4I3,,,,,,,,,,,,,,,
PS1,,p,S,Afloat Security Officer,1,Staff,Successfully completed 24 months as an Afloat Security Officer - Staff.,,,,649X,749X,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFF N1SF,,,,,OPNAV N4I3,,,,,,,,,,,,,,,
PS2,,p,S,Afloat Security Officer,2,Afloat,Successfully completed 24 months as an Afloat Security Officer - Afloat.,,,,649X,749X,,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFF N1SF,,,,,OPNAV N4I3,,,,,,,,,,,,,,,
SPECIAL WARFARE,"AQD codes having the first character “Q” are used to modify 1130 billets and 113X, 715X and 717X officer designators when the billet requirements/officer qualifications pertain to the special warfare specialty.AQD codes having the first character ""Q"" are used to identify selected billets, officer experience, billet requirements and officer qualifications pertaining to Special Warfare.",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC1,,Q,C,Division Officer,1,Served,"Successfully completed the Junior Officer 
Training Course.

Successfully completed a tour in a Division Officer billet at a SEAL Team or SEAL Delivery Vehicle Team. Prior-enlisted officers who previously earned NEC O26A may successfully complete a tour in a Division Officer billet at a Special Reconnaissance Team.",,,,113X,,,,,,,,,,,,,,,,,,,O1 TO O3,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QC9,,Q,C,Division Officer,9,Qualified,Completed SEAL qualification criteria prescribed in MILPERSMAN 1210-220 or 1220-085.,,,,113X,715X,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QD2,,Q,D,Department Head,2,Eligible,Screened positive for Department Head by the NSW Leader Assessment Program.,,,,113X,,,,,,,,,,,,,,,,,,,O2 TO O3,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QD9,,Q,D,Department Head,9,Served,"Earned AQD Code QC1 and QD2.

AND

Administratively screened for Department Head by board action.

AND

Successfully completed the Platoon Leader Course and the Tactical Mission Commander Course.

AND

Successfully completed a tour in a Department Head billet.",,,,113X,,,,,,,,,,,,,,,,,,,O3 TO O4,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QE1,,Q,E,Executive Officer,1,Served,"Earned AQD Code QD9.
AND

Administratively screened for Executive Officer by board action.

AND

Successfully completed the Executive Officer Leadership Course.

AND

Successfully completed a tour in an Executive Officer billet.
",,,,113X,,,,,,,,,,,,,,,,,,,O4,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QF1,,Q,F,Commander Command,1,Served,"Earned AQD Codes QE1, 2D1, and 2D2.

Administratively screened for Command by board action.

Successfully completed a tour in a Commander Command billet.
",,,,113X,,,,,,,,,,,,,,,,,,,O5 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QF2,,Q,F,Commander Command,2,Acquisitions Eligible,"Successfully completed a tour in an
acquisitions-coded, acquisitions-related, resourcing, or requirements billet.
OR
Successfully completed graduate education in financial management, business administration, science, technology, engineering, or math.
OR
Accumulated unique operational experience germane to Naval Special Warfare-peculiar acquisitions programs.
AND 
Selected by the Naval Special Warfare (NSW) Acquisitions Eligibility Panel. 
AND
Earned AQD Code QD9.
",,,,113X,,,,,,,,,,,,,,,,,,,O3 TO O5,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,PERS-415,PMS-340,,,,,,,,,,,,
QF3,,Q,F,Commander Command,3,Served Acquisitions,"Earned AQD Codes QE1, 2D1, 2D2 and QF2.
AND
Administratively screened for Acquisitions Commander Command by board action.
AND
Successfully completed a tour in an Acquisitions Commander Command billet.
",,,,113X,,,,,,,,,,,,,,,,,,,O5 TO O6,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,PERS-415,PMS-340,,,,,,,,,,,,
QG1,,Q,G,Major Command,1,Served,"Earned AQD Codes QF1, 2D3, and QG2.
Administratively screened for Major Command by board action.
Successfully completed a tour in a Major Command billet.
",,,,113X,,,,,,,,,,,,,,,,,,,O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QG2,,Q,G,Major Command,2,Eligible,Screened positive for Major Command by the NSW Leader Assessment Program.,,,,113X,,,,,,,,,,,,,,,,,,,O5 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QH1,,Q,H,Human Resources,1,Staff Experience,"Successfully completed a tour as Naval Special Warfare Program Management Branch Head, Officer Community Manager, Enlisted Community Manager, Detailer, or Placement Officer.",,,,113X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,PERS-4,,,,,,,,,,,,,
QI1,,Q,I,Undersea,1,Operational Experience,Successfully completed an operational leadership tour at a SEAL Delivery Vehicle Team.,,,,113X,,,,,,,,,,,,,,,,,,,O1 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QI7,,Q,I,Undersea,7,SDV Navigator,"(a) Successfully complete SDV Basic Operator Course (K-431-0040) or equivalent
And 
(b) Successfully complete Unit Level T Advanced Operator Training (ULT AOT)
AND
(c) Officially designated as an SDV Navigator by Commanding Officer, SEAL Delivery Vehicle Team ONE or other delegated authority.",,,,113X,715X,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QI8,,Q,I,Undersea,8,Dry Combat Submersible (DCS) Pilot,"Successfully completed the Dry Combat Submersible (DCS) Pilot Course (K-431-0173) or equivalent.
AND
Successfully completed all DCS Pilot Personnel Qualification Standards (PQS).
AND
Officially designated as a DCS Pilot by Commander, Naval Special Warfare Command or other delegated authority.
",,,,112X,113X,715X,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QI9,,Q,I,Undersea,9,Qualified,Qualified as an Officer Conducting the Exercise Representative.,,,,113X,,,,,,,,,,,,,,,,,,,O3 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QK1,,Q,K,Combat Support (CS) and Combat Service Support (CSS),1,Operational Experience,Successfully completed a tour at a NSW command.,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QK2,,Q,K,Combat Support (CS) and Combat Service Support (CSS),2,Command,Successfully completed a tour in a NSW Command billet.,,,,ALL,,,,,,,,,,,,,,,,,,,O5 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QK3,,Q,K,Combat Support (CS) and Combat Service Support (CSS),3,Staff Experience,"Successfully completed an assignment in an NSW Department Head, XO, CSO, COS, or ACOS billet.",,,,ALL,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QL1,,Q,L,Surface,1,Operational Experience,Successfully completed a tour at a Special Boat Team.,,,,113X,,,,,,,,,,,,,,,,,,,O2 TO O5,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,PERS-415,,,,,,,,,,,,,
QL2,,Q,L,Surface,2,Division Officer,Successfully completed a tour in a Division Officer billet,,,,717X,,,,,,,,,,,,,,,,,,,W2 TO W3,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,PERS-415,,,,,,,,,,,,,
QL3,,Q,L,Surface,3,Assistant Department Head,"(a) Earned AQD Code QL2.
AND
(b)Successfully completed a tour in an Assistant Department Head billet
",,,,717X,,,,,,,,,,,,,,,,,,,W2 TO W4,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,PERS-415,,,,,,,,,,,,,
QL4,,Q,L,Surface,4,Department Head,"(a) Earned AQD Code QL3
AND 
(b) Successfully completed a tour in a Department Head billet
",,,,717X,,,,,,,,,,,,,,,,,,,W3 TO W5,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,PERS-415,,,,,,,,,,,,,
