AQD CODE,DESCRIPTION,1ST,2ND CODE,2ND TITLE,3RD CODE,3RD TITLE,OFFICER AWARDING CRITERIA,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILIING PREREQUISITE,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,DESIGNATOR_20,DESIGNATOR_21,DESIGNATOR_22,DESIGNATOR_23,DESIGNATOR_24,DESIGNATOR_25,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,PRIMARY CONSULTANT_1,PRIMARY CONSULTANT_2,PRIMARY CONSULTANT_3,PRIMARY CONSULTANT_4,PRIMARY CONSULTANT_5,AUXILIARY CONSULTANT_1,AUXILIARY CONSULTANT_2,AUXILIARY CONSULTANT_3,AUXILIARY CONSULTANT_4,AUXILIARY CONSULTANT_5,AUXILIARY CONSULTANT_6,,,,,,,,,,
AL1,,A,L,Life Cycle Logistics,1,Level 1 Functional Area Certified,Received Foundational Acquisition Certification in Life Cycle Logistics.,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,PERS - 4,,,,,,,,,,,,,
AL3,,A,L,Life Cycle Logistics,3,Level 3 Functional Area Certified,Received Advanced Acquisition Certification in Life Cycle Logistics.,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,PERS - 4,,,,,,,,,,,,,
ALC,,A,L,Life Cycle Logistics,C,Critical Acquisition Position (CAP),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billets coded with ALC require an officer who is eligible to receive the ALC code upon assignment.

The officer will be required to earn the AL3 code within 48 months of assignment.
",There may be exceptions in which an officer may be detailed to an ALC billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,This billet is a Critical Acquisition Billet and requires a minimum 3-year tenure agreement,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O4 TO O9,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
ALK,,A,L,Life Cycle Logistics,K,Key Leadership Position (KLP),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Assistant Secretary of the Navy (Research, Development, and Acquisition) and/or Director, Acquisition Talent Management (DATM) approval is required prior to:

(a) The assignment of ALK to any billet 

AND

(b) The assignment of any individual to a billet coded ALK.
",) Billets coded with AKK require an officer who is eligible to receive the AKK code upon assignment.,There may be exceptions in which an officer may be detailed to an ALK billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,This billet is a Critical Acquisition/Key Leadership Billet and requires a minimum 3 year tenure agreement.,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O5 TO O9,,,Active Only,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
ALN,,A,L,Life Cycle Logistics,N,Non-Critical Acquisition Billet,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billets coded with ALN require an officer who is eligible to receive the ALN code upon assignment.

The officer will be required to earn the AL1 code within 36 months of assignment

OR,

When billet requires Advanced certification, the officer will be required to earn the AL3 code within 48 months of assignment.
",There may be exceptions in which an officer may be detailed to an ALN billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O9,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
AN1,,A,N,Engineering and Technical Management,1,Level 1 Functional Area Certified,Received Foundational Certification in the Acquisition Engineering & Technical Management (ETM) Functional Area.,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,PERS - 4,,,,,,,,,,,,,
AN2,,A,N,Engineering and Technical Management,2,Level 2 Functional Area Certified,Received Practitioner Certification in the Acquisition Engineering & Technical Management (ETM) Functional Area.,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,PERS - 4,,,,,,,,,,,,,
ANC,,A,N,Engineering and Technical Management,C,Critical Acquisition Position (CAP),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billets coded with ANC require an officer who is eligible to receive the ANC code upon assignment.

The officer will be required to earn the AN2 code within 60 months of assignment.
",There may be exceptions in which an officer may be detailed to an ANC billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,This billet is a Critical Acquisition Billet and requires a minimum 3-year tenure agreement,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O5 TO O9,,Indefinite,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
ANK,,A,N,Engineering and Technical Management,K,Key Leadership Position (KLP),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Assistant Secretary of the Navy (Research, Development, and Acquisition) and/or Director, Acquisition Talent Management (DATM) approval is required prior to:

(a) The assignment of ANK to any billet 

AND

(b) The assignment of any individual to a billet coded ANK.
",Billets coded with AKK require an officer who is eligible to receive the AKK code upon assignment.,There may be exceptions in which an officer may be detailed to an ANK billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,This billet is a Critical Acquisition/Key Leadership Billet and requires a minimum 3 year tenure agreement.,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O6 TO O9,,,Active Only,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
ANN,,A,N,Engineering and Technical Management,N,Non-Critical Acquisition Billet,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billets coded with ANN require an officer who is eligible to receive the ANN code upon assignment.
The AN1 code must be obtained within 36 months of assignment, 
OR
If AN2 is required, it must be earned within 60 months of assignment.
",There may be exceptions in which an officer may be detailed to an ANN billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2 TO O9,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
